image_filename,label
20539.png,0
00077.png,0
11603.png,1
06989.png,1
32124.png,1
26307.png,1
26497.png,0
01816.png,0
03404.png,1
37178.png,1
24250.png,0
64992.png,1
39978.png,0
02634.png,1
11873.png,0
06047.png,0
39311.png,1
21907.png,1
20383.png,1
22229.png,1
02530.png,0
48351.png,0
37500.png,0
10594.png,0
12307.png,1
56658.png,0
02133.png,1
06060.png,0
51667.png,1
07903.png,1
30642.png,0
00905.png,0
05284.png,1
09346.png,1
68679.png,1
02817.png,1
21087.png,1
27522.png,0
27639.png,0
22456.png,1
22449.png,0
62968.png,1
31748.png,1
22758.png,0
26972.png,0
22753.png,1
21931.png,1
01109.png,0
05745.png,0
56024.png,0
08748.png,1
27201.png,1
26420.png,0
37492.png,0
13663.png,0
66450.png,1
31812.png,1
12452.png,1
04488.png,1
65926.png,1
09632.png,0
21653.png,1
37013.png,1
27645.png,0
49724.png,0
24568.png,1
07420.png,0
13425.png,1
36575.png,1
31981.png,0
36945.png,1
05865.png,0
25473.png,0
06691.png,0
62390.png,1
46916.png,1
28592.png,0
06046.png,0
39868.png,0
23331.png,0
00882.png,0
49767.png,0
10073.png,0
06878.png,1
12311.png,0
07808.png,1
50159.png,0
67778.png,1
36239.png,1
10000.png,1
20221.png,1
40389.png,1
35873.png,1
07807.png,1
24632.png,1
51532.png,0
68626.png,0
21156.png,1
62362.png,0
43406.png,0
67568.png,1
65656.png,1
28300.png,1
01131.png,0
42020.png,0
13850.png,0
28297.png,0
02368.png,1
05118.png,1
20170.png,1
55712.png,1
00028.png,0
49349.png,0
24173.png,0
47424.png,1
07123.png,0
32908.png,0
22290.png,0
00968.png,1
10132.png,0
26742.png,0
22110.png,0
13718.png,0
28204.png,1
05954.png,0
07230.png,0
13077.png,0
11667.png,0
05089.png,0
12958.png,1
21233.png,1
00253.png,0
26757.png,1
11210.png,1
05227.png,0
21162.png,1
25359.png,1
12100.png,0
50673.png,1
68679.png,0
64823.png,1
11821.png,0
69240.png,1
12502.png,1
04055.png,1
03375.png,1
61625.png,1
42534.png,0
48144.png,1
01995.png,1
46696.png,0
25901.png,0
00604.png,1
02273.png,0
05494.png,1
10614.png,1
10728.png,0
41594.png,0
37054.png,1
23644.png,0
23273.png,0
11581.png,1
05968.png,0
40066.png,1
54543.png,1
13994.png,0
48653.png,0
40779.png,0
27164.png,1
44221.png,0
25727.png,0
04080.png,1
08925.png,1
03469.png,0
55325.png,0
35736.png,1
10680.png,0
12843.png,1
02106.png,0
20734.png,0
41596.png,0
12682.png,1
56638.png,1
10965.png,1
28046.png,0
02291.png,0
68231.png,0
52159.png,0
66166.png,1
00500.png,0
07617.png,1
01329.png,0
04703.png,1
39171.png,1
28992.png,0
20712.png,0
48860.png,0
67114.png,0
10650.png,0
03345.png,1
28948.png,0
28747.png,1
06322.png,0
12091.png,1
06706.png,1
51269.png,0
28831.png,1
25606.png,0
66567.png,0
27677.png,0
50988.png,1
12357.png,1
47292.png,1
10751.png,1
07657.png,0
50185.png,1
03213.png,1
36555.png,0
27106.png,0
06516.png,1
11025.png,0
36324.png,1
28418.png,1
66370.png,0
21278.png,0
33044.png,1
40895.png,1
34086.png,1
04716.png,0
44212.png,0
02441.png,1
03054.png,1
10060.png,1
01648.png,1
63522.png,0
07751.png,0
48989.png,0
35078.png,0
61323.png,0
00134.png,1
13218.png,1
35871.png,1
10385.png,0
02202.png,0
12822.png,0
66014.png,1
47579.png,1
44572.png,1
06902.png,1
03123.png,0
50674.png,0
62388.png,1
04394.png,1
63177.png,0
24051.png,1
01045.png,0
00143.png,0
54953.png,1
08313.png,0
00427.png,0
63689.png,1
07821.png,1
00120.png,0
68829.png,0
52908.png,1
21936.png,1
43682.png,1
23922.png,0
38967.png,0
36968.png,0
27942.png,1
33808.png,0
22689.png,0
43984.png,0
55222.png,1
07003.png,1
08659.png,1
40080.png,1
40140.png,1
31621.png,1
02879.png,1
36072.png,0
28693.png,1
46369.png,0
00203.png,1
00171.png,0
05505.png,1
08095.png,0
20529.png,0
58681.png,0
08112.png,1
41926.png,0
21053.png,1
21557.png,1
33582.png,1
53723.png,1
38209.png,0
67931.png,1
48465.png,0
22508.png,0
