Name,FacialExp
0,neutral
1,happy
2,neutral
3,neutral
4,neutral
5,neutral
6,happy
7,happy
8,happy
9,happy
10,happy
11,happy
12,neutral
13,neutral
14,happy
15,neutral
16,happy
17,happy
18,happy
19,happy
20,neutral
21,fear
22,happy
23,happy
24,sad
25,happy
26,happy
27,happy
28,angry
29,happy
30,happy
31,neutral
32,happy
33,happy
34,happy
35,neutral
36,happy
37,happy
38,happy
39,angry
40,happy
41,neutral
42,happy
43,neutral
44,happy
45,happy
46,happy
47,happy
48,happy
49,happy
50,happy
51,neutral
52,happy
53,sad
54,happy
55,happy
56,happy
57,happy
58,neutral
59,neutral
60,angry
61,happy
62,angry
63,angry
64,neutral
65,happy
66,happy
67,happy
68,neutral
69,neutral
70,neutral
71,happy
72,neutral
73,happy
74,happy
75,happy
76,happy
77,neutral
78,happy
79,happy
80,neutral
81,happy
82,happy
83,neutral
84,angry
85,neutral
86,happy
87,happy
88,happy
89,neutral
90,happy
91,happy
92,happy
93,happy
94,happy
95,happy
96,happy
97,fear
98,neutral
99,surprise
100,happy
101,happy
102,neutral
103,happy
104,happy
105,neutral
106,happy
107,happy
108,happy
109,neutral
110,happy
111,neutral
112,neutral
113,happy
114,happy
115,happy
116,happy
117,sad
118,neutral
119,happy
120,neutral
121,fear
122,neutral
123,happy
124,neutral
125,angry
126,happy
127,happy
128,neutral
129,happy
130,neutral
131,happy
132,neutral
133,happy
134,neutral
135,neutral
136,neutral
137,happy
138,happy
139,happy
140,happy
141,happy
142,neutral
143,happy
144,happy
145,neutral
146,happy
147,surprise
148,neutral
149,happy
150,happy
151,happy
152,neutral
153,happy
154,neutral
155,happy
156,happy
157,happy
158,neutral
159,happy
160,surprise
161,happy
162,happy
163,neutral
164,happy
165,neutral
166,happy
167,happy
168,neutral
169,happy
170,happy
171,happy
172,neutral
173,angry
174,happy
175,happy
176,happy
177,neutral
178,happy
179,happy
180,happy
181,sad
182,happy
183,happy
184,neutral
185,happy
186,happy
187,angry
188,neutral
189,happy
190,happy
191,happy
192,happy
193,neutral
194,neutral
195,neutral
196,happy
197,happy
198,neutral
199,neutral
200,neutral
201,happy
202,happy
203,sad
204,happy
205,neutral
206,happy
207,happy
208,happy
209,happy
210,sad
211,happy
212,happy
213,happy
214,happy
215,happy
216,neutral
217,happy
218,happy
219,happy
220,sad
221,happy
222,neutral
223,happy
224,happy
225,neutral
226,happy
227,happy
228,happy
229,happy
230,neutral
231,happy
232,angry
233,happy
234,happy
235,happy
236,neutral
237,happy
238,happy
239,happy
240,happy
241,happy
242,happy
243,neutral
244,happy
245,neutral
246,happy
247,neutral
248,happy
249,happy
250,happy
251,happy
252,happy
253,happy
254,neutral
255,angry
256,neutral
257,happy
258,happy
259,angry
260,happy
261,happy
262,happy
263,fear
264,happy
265,happy
266,happy
267,happy
268,neutral
269,neutral
270,happy
271,happy
272,happy
273,happy
274,happy
275,happy
276,happy
277,neutral
278,happy
279,neutral
280,happy
281,neutral
282,happy
283,happy
284,neutral
285,neutral
286,happy
287,happy
288,neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,happy
294,neutral
295,happy
296,happy
297,happy
298,happy
299,happy
300,happy
301,happy
302,happy
303,sad
304,neutral
305,happy
306,happy
307,happy
308,neutral
309,happy
310,sad
311,happy
312,neutral
313,angry
314,happy
315,happy
316,happy
317,happy
318,angry
319,happy
320,neutral
321,neutral
322,neutral
323,happy
324,angry
325,happy
326,angry
327,happy
328,happy
329,happy
330,neutral
331,happy
332,happy
333,angry
334,happy
335,happy
336,surprise
337,fear
338,neutral
339,happy
340,happy
341,neutral
342,neutral
343,neutral
344,happy
345,happy
346,happy
347,happy
348,happy
349,neutral
350,neutral
351,happy
352,happy
353,happy
354,happy
355,happy
356,happy
357,neutral
358,happy
359,happy
360,happy
361,happy
362,happy
363,happy
364,happy
365,happy
366,happy
367,neutral
368,happy
369,happy
370,happy
371,happy
372,happy
373,happy
374,neutral
375,neutral
376,neutral
377,happy
378,happy
379,neutral
380,happy
381,happy
382,happy
383,neutral
384,neutral
385,neutral
386,neutral
387,neutral
388,happy
389,sad
390,happy
391,happy
392,happy
393,happy
394,happy
395,happy
396,happy
397,happy
398,happy
399,sad
400,happy
401,neutral
402,neutral
403,neutral
404,happy
405,happy
406,happy
407,neutral
408,happy
409,happy
410,happy
411,neutral
412,angry
413,happy
414,neutral
415,neutral
416,happy
417,neutral
418,happy
419,happy
420,happy
421,happy
422,happy
423,happy
424,happy
425,sad
426,happy
427,happy
428,neutral
429,happy
430,sad
431,neutral
432,neutral
433,happy
434,happy
435,happy
436,happy
437,happy
438,happy
439,happy
440,neutral
441,neutral
442,happy
443,neutral
444,neutral
445,happy
446,happy
447,angry
448,happy
449,happy
450,happy
451,happy
452,happy
453,happy
454,happy
455,happy
456,happy
457,happy
458,happy
459,happy
460,happy
461,happy
462,neutral
463,happy
464,happy
465,happy
466,happy
467,neutral
468,happy
469,happy
470,neutral
471,happy
472,happy
473,happy
474,neutral
475,happy
476,neutral
477,neutral
478,neutral
479,neutral
480,neutral
481,neutral
482,neutral
483,neutral
484,neutral
485,neutral
486,happy
487,happy
488,neutral
489,happy
490,neutral
491,happy
492,happy
493,happy
494,angry
495,happy
496,happy
497,neutral
498,happy
499,happy
500,angry
501,happy
502,neutral
503,happy
504,happy
505,happy
506,happy
507,happy
508,happy
509,happy
510,neutral
511,happy
512,happy
513,fear
514,happy
515,happy
516,happy
517,neutral
518,happy
519,neutral
520,happy
521,happy
522,happy
523,happy
524,neutral
525,happy
526,happy
527,happy
528,angry
529,surprise
530,happy
531,happy
532,happy
533,surprise
534,happy
535,happy
536,happy
537,happy
538,happy
539,neutral
540,neutral
541,happy
542,happy
543,happy
544,sad
545,happy
546,happy
547,neutral
548,happy
549,happy
550,happy
551,angry
552,happy
553,happy
554,happy
555,neutral
556,happy
557,neutral
558,neutral
559,happy
560,happy
561,happy
562,happy
563,happy
564,neutral
565,neutral
566,happy
567,happy
568,angry
569,happy
570,happy
571,sad
572,happy
573,neutral
574,happy
575,happy
576,neutral
577,happy
578,sad
579,angry
580,happy
581,happy
582,neutral
583,happy
584,happy
585,neutral
586,happy
587,happy
588,happy
589,angry
590,neutral
591,happy
592,neutral
593,happy
594,happy
595,happy
596,neutral
597,happy
598,happy
599,happy
600,happy
601,happy
602,happy
603,happy
604,happy
605,happy
606,happy
607,happy
608,neutral
609,angry
610,happy
611,neutral
612,neutral
613,neutral
614,sad
615,happy
616,happy
617,happy
618,neutral
619,angry
620,happy
621,happy
622,happy
623,happy
624,happy
625,happy
626,happy
627,happy
628,neutral
629,happy
630,happy
631,happy
632,happy
633,happy
634,angry
635,happy
636,angry
637,happy
638,happy
639,happy
640,happy
641,neutral
642,happy
643,neutral
644,happy
645,angry
646,happy
647,neutral
648,happy
649,happy
650,happy
651,surprise
652,happy
653,happy
654,happy
655,neutral
656,happy
657,happy
658,neutral
659,happy
660,angry
661,happy
662,happy
663,happy
664,happy
665,neutral
666,surprise
667,happy
668,happy
669,happy
670,happy
671,happy
672,happy
673,neutral
674,happy
675,angry
676,happy
677,happy
678,happy
679,happy
680,neutral
681,neutral
682,happy
683,neutral
684,happy
685,angry
686,happy
687,happy
688,happy
689,angry
690,angry
691,neutral
692,happy
693,happy
694,happy
695,neutral
696,happy
697,surprise
698,happy
699,happy
700,angry
701,happy
702,happy
703,happy
704,happy
705,happy
706,happy
707,happy
708,happy
709,angry
710,happy
711,happy
712,happy
713,happy
714,happy
715,happy
716,happy
717,happy
718,happy
719,angry
720,happy
721,happy
722,happy
723,angry
724,neutral
725,happy
726,neutral
727,happy
728,neutral
729,happy
730,neutral
731,happy
732,happy
733,neutral
734,neutral
735,happy
736,happy
737,neutral
738,neutral
739,happy
740,neutral
741,happy
742,happy
743,happy
744,happy
745,sad
746,neutral
747,happy
748,happy
749,happy
750,happy
751,surprise
752,happy
753,happy
754,happy
755,happy
756,neutral
757,happy
758,happy
759,neutral
760,happy
761,happy
762,angry
763,happy
764,happy
765,happy
766,happy
767,angry
768,happy
769,neutral
770,happy
771,neutral
772,happy
773,neutral
774,happy
775,happy
776,neutral
777,happy
778,happy
779,neutral
780,happy
781,happy
782,happy
783,neutral
784,happy
785,happy
786,happy
787,happy
788,happy
789,happy
790,neutral
791,happy
792,happy
793,happy
794,happy
795,happy
796,neutral
797,happy
798,neutral
799,happy
800,happy
801,happy
802,surprise
803,fear
804,neutral
805,happy
806,neutral
807,happy
808,happy
809,neutral
810,neutral
811,happy
812,neutral
813,neutral
814,neutral
815,happy
816,neutral
817,happy
818,happy
819,happy
820,neutral
821,happy
822,happy
823,happy
824,happy
825,happy
826,happy
827,neutral
828,fear
829,happy
830,happy
831,happy
832,happy
833,happy
834,neutral
835,happy
836,happy
837,angry
838,neutral
839,neutral
840,neutral
841,happy
842,neutral
843,happy
844,happy
845,surprise
846,neutral
847,neutral
848,happy
849,happy
850,neutral
851,neutral
852,neutral
853,happy
854,neutral
855,surprise
856,sad
857,happy
858,neutral
859,happy
860,happy
861,happy
862,angry
863,surprise
864,neutral
865,happy
866,happy
867,neutral
868,neutral
869,surprise
870,neutral
871,happy
872,angry
873,happy
874,neutral
875,neutral
876,happy
877,happy
878,happy
879,neutral
880,happy
881,neutral
882,happy
883,angry
884,happy
885,neutral
886,sad
887,happy
888,happy
889,neutral
890,happy
891,happy
892,happy
893,neutral
894,happy
895,happy
896,happy
897,neutral
898,happy
899,happy
900,happy
901,neutral
902,neutral
903,neutral
904,happy
905,angry
906,happy
907,neutral
908,neutral
909,happy
910,sad
911,angry
912,angry
913,happy
914,happy
915,neutral
916,happy
917,happy
918,neutral
919,happy
920,happy
921,happy
922,neutral
923,happy
924,happy
925,happy
926,neutral
927,neutral
928,happy
929,angry
930,happy
931,happy
932,neutral
933,neutral
934,happy
935,happy
936,happy
937,happy
938,neutral
939,fear
940,happy
941,happy
942,happy
943,sad
944,neutral
945,happy
946,neutral
947,happy
948,neutral
949,happy
950,happy
951,happy
952,happy
953,neutral
954,happy
955,happy
956,happy
957,happy
958,happy
959,happy
960,angry
961,fear
962,neutral
963,angry
964,happy
965,happy
966,happy
967,happy
968,happy
969,sad
970,happy
971,happy
972,happy
973,happy
974,neutral
975,happy
976,happy
977,surprise
978,happy
979,happy
980,happy
981,happy
982,happy
983,neutral
984,happy
985,happy
986,neutral
987,angry
988,happy
989,neutral
990,happy
991,happy
992,happy
993,happy
994,neutral
995,happy
996,happy
997,neutral
998,neutral
